Price,address,Type,City,Province,,Number of Bedrooms,Number of Bathrooms,Square Ft.,Sold_date
930000,1635 W 3rd Ave ,Apartment, Vancouver,BC,V6J 0B6,2.00,2.50,800,10/27/2022
2250000,1421 E 62nd Ave,Single House, Vancouver,BC,V5P 2K6,4.00,2.00,1843,5/20/2022
597000,550 Taylor St ,Apartment, Vancouver,BC,V6B 1R1,1.00,1.00,572,10/28/2022
2980000,1348 E 24th Ave,Single House, Vancouver,BC,V5V 2B7,6.00,4.50,2878,4/5/2022
1820000,518 E 18th Ave,Single House, Vancouver,BC,V5V 1G3,5.00,3.50,2112,4/19/2022
1630000,1762 Davie St ,Apartment, Vancouver,BC,V6G 1W2,2.00,2.00,1580,3/11/2022
1975000,2211 E 1st Ave,Single House, Vancouver,BC,V5N 1C1,6.00,5.00,2345,7/29/2022
820000,428 W 8th Ave ,Apartment, Vancouver,BC,V5Y 1N9,1.00,1.50,784,5/17/2022
2220000,2271 E 43rd Ave,Single House, Vancouver,BC,V5P 1M8,6.00,4.00,2505,2/15/2022
3694000,1688 W 61st Ave,Single House, Vancouver,BC,V6P 2C3,4.00,5.00,3838,6/2/2022
4250000,58 W 17th Ave,Single House, Vancouver,BC,V5Y 1Z4,6.00,4.50,3282,3/24/2022
4410000,105 W 43rd Ave,Single House, Vancouver,BC,V5Y 2T6,8.00,6.50,4098,3/8/2022
1450000,179 E 17th Ave,Single House, Vancouver,BC,V5V 1A5,2.00,2.50,1209,2/23/2022
2400000,1275 Maple St,Single House, Vancouver,BC,V6J 3R8,4.00,2.00,1131,3/31/2022
2850000,2045 E Broadway,Single House, Vancouver,BC,V5N 1W6,5.00,2.50,2588,12/1/2022
7800000,2007 W 29th Ave,Single House, Vancouver,BC,V6J 2Z9,4.00,8.00,5906,11/29/2022
2320000,996 E 20th Ave,Single House, Vancouver,BC,V5V 1N6,2.00,1.00,1773,6/28/2022
2100000,499 Drake St ,Apartment, Vancouver,BC,V6B 1B1,2.00,2.50,1426,10/4/2022
775000,1275 Hamilton St ,Apartment, Vancouver,BC,V6B 6K3,1.00,1.00,704,5/16/2022
545000,63 Keefer Pl ,Apartment, Vancouver,BC,V6B 6N6,1.00,1.50,589,5/20/2022
1669000,1243 Homer St,Single House, Vancouver,BC,V6B 2Y9,1.00,2.00,1323,4/27/2022
4200000,181 Athletes Way ,Apartment, Vancouver,BC,V5Y 0E5,3.00,2.50,2395,11/29/2022
678000,928 Homer St ,Apartment, Vancouver,BC,V6B 1T7,1.00,1.00,731,2/18/2022
600000,5555 Victoria Dr ,Apartment, Vancouver,BC,V5P 4Y3,2.00,2.00,824,7/11/2022
480000,550 Taylor St ,Apartment, Vancouver,BC,V6B 1R1,1.00,1.00,520,2/24/2022
705000,1887 Crowe St ,Apartment, Vancouver,BC,V5Y 0B4,1.00,1.00,607,6/30/2022
500000,8770 Laurel St ,Apartment, Vancouver,BC,V6P 3V6,1.00,2.50,886,4/8/2022
1430000,6856 Victoria Dr,Single House, Vancouver,BC,V5P 3Y5,5.00,2.00,1238,6/16/2022
2300000,1855 Vine St ,Apartment, Vancouver,BC,V6K 3J8,2.00,1.50,1338,4/28/2022
780000,2768 Cranberry Dr ,Apartment, Vancouver,BC,V6K 4V1,1.00,1.00,655,7/7/2022
845000,2263 Redbud Lane ,Apartment, Vancouver,BC,V6K 4V7,1.00,1.00,695,8/8/2022
782000,1088 Richards St ,Apartment, Vancouver,BC,V6B 0J8,1.00,1.00,563,4/20/2022
555000,2238 Kingsway ,Apartment, Vancouver,BC,V5N 2T7,2.00,2.00,784,2/15/2022
620000,1611 E 3rd Ave ,Apartment, Vancouver,BC,V5N 1H1,1.00,1.00,690,5/4/2022
705000,822 Seymour St ,Apartment, Vancouver,BC,V6B 1L7,2.00,2.50,741,8/4/2022
1495000,1372 Seymour St ,Apartment, Vancouver,BC,V6B 3P3,2.00,2.50,982,4/8/2022
4860000,19 Peveril Ave,Single House, Vancouver,BC,V5Y 2L2,5.00,5.00,3672,6/1/2022
4650000,4431 Ontario St,Single House, Vancouver,BC,V5V 3H2,3.00,4.00,3299,6/24/2022
549000,8988 Hudson St ,Apartment, Vancouver,BC,V6P 6Z1,1.00,1.00,615,3/9/2022
1725000,4320 Nanaimo St,Single House, Vancouver,BC,V5R 5G9,3.00,2.00,1340,3/29/2022
630000,1351 Continental St ,Apartment, Vancouver,BC,V6Z 0C6,1.00,1.00,513,3/4/2022
2380000,1513 W 66th Ave,Single House, Vancouver,BC,V6P 2R8,4.00,3.50,2378,11/25/2022
3538000,7061 Cypress St,Single House, Vancouver,BC,V6P 5M2,2.00,2.50,3673,4/13/2022
1820000,4858 Beatrice St,Single House, Vancouver,BC,V5N 4J4,5.00,4.00,2026,6/29/2022
1030000,928 Richards St ,Apartment, Vancouver,BC,V6B 3C1,2.00,2.50,752,9/20/2022
3900000,1438 W 55th Ave,Single House, Vancouver,BC,V6P 1R5,7.00,3.50,3703,6/30/2022
941400,2258 E 7th Ave,Single House, Vancouver,BC,V5N 1S7,5.00,3.50,2629,11/25/2022
701000,909 Mainland St ,Apartment, Vancouver,BC,V6B 1S3,1.00,1.00,589,3/31/2022
1113000,199 Drake St,Apartment, Vancouver,BC,V6Z 2Y8,2.00,2.00,1192,3/9/2022
1600000,4514 Nanaimo St,Single House, Vancouver,BC,V5N 5J4,4.00,4.50,1640,11/7/2022
520000,774 Great Northern Way ,Apartment, Vancouver,BC,V5T 1E1,1.00,1.00,614,8/12/2022
1680000,3494 Franklin St,Single House, Vancouver,BC,V5K 1Y3,2.00,1.00,2104,10/27/2022
1160000,2758 Dundas St,Single House, Vancouver,BC,V5K 1R2,1.00,1.00,1289,5/30/2022
633000,570 E 8th Ave ,Apartment, Vancouver,BC,V5T 1S8,1.00,1.00,632,8/10/2022
1017000,1081 W 8th Ave ,Apartment, Vancouver,BC,V6H 1C3,2.00,1.00,966,2/14/2022
2350000,2115 E 13th Ave,Single House, Vancouver,BC,V5N 2C6,5.00,2.50,2100,4/28/2022
800000,1445 Marpole Ave ,Apartment, Vancouver,BC,V6H 1S5,2.00,1.00,819,10/28/2022
1925000,1199 Seymour St ,Apartment, Vancouver,BC,V6B 1K3,2.00,2.00,1238,3/15/2022
529200,989 Beatty St ,Apartment, Vancouver,BC,V6Z 3C2,1.00,1.00,482,9/14/2022
1185000,1228 Marinaside Cres ,Apartment, Vancouver,BC,V6Z 2W4,2.00,2.00,964,5/2/2022
2275000,2826 Wall St,Single House, Vancouver,BC,V5K 1B2,2.00,1.00,920,5/2/2022
750000,1225 Richards St ,Apartment, Vancouver,BC,V6B 1E6,1.00,1.00,592,6/15/2022
1630000,2540 Triumph St,Single House, Vancouver,BC,V5K 1S8,5.00,2.00,2805,5/31/2022
950000,3611 W 18th Ave ,Apartment, Vancouver,BC,V6S 1B3,2.00,2.00,788,2/24/2022
1800000,2630 Eton St,Single House, Vancouver,BC,V5K 1K1,3.00,1.00,1953,7/20/2022
740000,350 E 5th Ave ,Apartment, Vancouver,BC,V5T 1H4,1.00,1.00,545,6/29/2022
550000,588 E 5th Ave ,Apartment, Vancouver,BC,V5T 4H6,1.00,1.00,673,5/9/2022
